"LEADIN","Y","0.003","0.002","3","4.27","584.99","699.59","1162.36","1587.05","4.31","1","80","Small Rutting","Small Rutting","17.8","53.71785592","-2.56060898","173.1","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","1"
"LEADIN","Y","0.008","0.007","1.42","4.41","413.34","1237.43","306.49","2743.2","4.44","1","90","Small Rutting","Small Rutting","21.7","53.71789703","-2.56059787","172.9","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","6"
"LEADIN","Y","0.013","0.012","2.02","2.6","654.11","611.97","693.14","883.1","2.77","1","70","Small Rutting","Small Rutting","25.3","53.71794075","-2.56058166","172.7","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","11"
"LEADIN","Y","0.018","0.017","1.26","6.34","478.49","1054.13","337.17","3550.75","6.34","1","100","Small Rutting","Large Radius","29.8","53.7179844","-2.56056205","172.5","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","16"
"LEADIN","Y","0.023","0.022","5.72","2.6","682.96","1180.03","1959.48","1558.87","5.72","2","100","Short Radius - Single Rut","Small Rutting","34","53.71802785","-2.56053799","172.3","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","21"
"LEADIN","Y","0.028","0.027","2.76","2.29","734.58","959.17","1120.54","1196.8","2.95","2","60","Small Rutting","Small Rutting","37.8","53.71807003","-2.56050743","172.2","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","26"
"LEADIN","Y","0.033","0.032","1.88","2.7","758.48","738.18","812.85","1119.24","2.79","1","90","Small Rutting","Small Rutting","39.8","53.71811095","-2.56047369","171.9","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","31"
"LEADIN","Y","0.038","0.037","2.85","4.13","1124.35","1150.24","1531.35","2762.81","4.21","1","90","Small Rutting","Small Rutting","40.3","53.71815122","-2.56043949","171.7","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","36"
"LEADIN","Y","0.043","0.042","9.58","3.92","1861.02","1210.96","10202.89","2443.48","9.58","2","100","Large Radius","Small Rutting","41.4","53.71819101","-2.56040444","171.4","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","41"
"LEADIN","Y","0.048","0.047","4.93","3.08","1752.52","1049.53","4980.61","1949.82","4.93","2","100","Small Rutting","Small Rutting","42.6","53.71823061","-2.56036929","171.2","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","46"
"LEADIN","Y","0.053","0.052","5.18","2.63","1838.04","949.65","4877.69","1350.26","5.18","2","100","Large Radius","Small Rutting","43.5","53.71827009","-2.5603339","171","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","51"
"LEADIN","Y","0.058","0.057","2.6","2.79","1445.59","903.76","1894.98","1183.05","2.99","1","70","Small Rutting","Small Rutting","44.7","53.71830933","-2.56029781","170.7","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","56"
"LEADIN","Y","0.063","0.062","3.21","3.12","1816.28","1051.18","2961.35","1794.49","3.37","2","60","Small Rutting","Small Rutting","45.4","53.71834831","-2.56026058","170.5","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","61"
"LEADIN","Y","0.068","0.067","2.97","3.78","1528.48","1244.55","2714.89","2881.99","3.81","1","80","Small Rutting","Small Rutting","46.4","53.71838746","-2.5602246","170.3","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","66"
"LEADIN","Y","0.073","0.072","3.57","3.47","1303.6","1201.58","2230.52","2199.46","3.86","1","50","Small Rutting","Small Rutting","47","53.71842647","-2.56018841","170","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","71"
"LEADIN","Y","0.078","0.077","6.22","5.26","1428.02","1293.98","3577.36","3626.31","6.32","2","80","Large Radius","Large Radius","47.7","53.71846547","-2.56015227","169.8","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","76"
"LEADIN","Y","0.083","0.082","4.07","2.04","1490.72","918.36","3149.55","1011.64","4.07","2","100","Small Rutting","Small Rutting","48.4","53.71850476","-2.56011665","169.5","FALSE","","04/11/2021","09:43:27","MFV_01","PG68BCU","HG","Y","81"
